Year,Category,Nominee,Info,Won
1942 (15th),Actor Leading,James Cagney,Yankee Doodle Dandy {'George M. Cohan'},YES
1942 (15th),Actor Leading,Ronald Colman,Random Harvest {'Charles Ranier'},NO
1942 (15th),Actor Leading,Gary Cooper,The Pride of the Yankees {'Lou Gehrig'},NO
1942 (15th),Actor Leading,Walter Pidgeon,Mrs. Miniver {'Clem Miniver'},NO
1942 (15th),Actor Leading,Monty Woolley,The Pied Piper {'Howard'},NO
1941 (14th),Actor Leading,Gary Cooper,Sergeant York {'Alvin C. York'},YES
1941 (14th),Actor Leading,Cary Grant,Penny Serenade {'Roger Adams'},NO
1941 (14th),Actor Leading,Walter Huston,All That Money Can Buy {'Mr. Scratch'},NO
1941 (14th),Actor Leading,Robert Montgomery,Here Comes Mr. Jordan {'Joe Pendleton'},NO
1941 (14th),Actor Leading,Orson Welles,Citizen Kane {'Charles Foster Kane'},NO
1940 (13th),Actor Leading,Charles Chaplin,"The Great Dictator {'Hynkel, Dictator of Tomania'}",NO
1940 (13th),Actor Leading,Henry Fonda,The Grapes of Wrath {'Tom Joad'},NO
1940 (13th),Actor Leading,Raymond Massey,Abe Lincoln in Illinois {'Abraham Lincoln'},NO
1940 (13th),Actor Leading,Laurence Olivier,Rebecca {'Maxim de Winter'},NO
1940 (13th),Actor Leading,James Stewart,The Philadelphia Story {'Mike Connor'},YES
1939 (12th),Actor Leading,Robert Donat,"Goodbye, Mr. Chips {'Mr. Chips'}",YES
1939 (12th),Actor Leading,Clark Gable,Gone with the Wind {'Rhett Butler'},NO
1939 (12th),Actor Leading,Laurence Olivier,Wuthering Heights {'Heathcliff'},NO
1939 (12th),Actor Leading,Mickey Rooney,Babes in Arms {'Mickey Moran'},NO
1939 (12th),Actor Leading,James Stewart,Mr. Smith Goes to Washington {'Jefferson Smith'},NO
1938 (11th),Actor Leading,Charles Boyer,Algiers {'Pepe Le Moko'},NO
1938 (11th),Actor Leading,James Cagney,Angels with Dirty Faces {'Rocky Sullivan'},NO
1938 (11th),Actor Leading,Robert Donat,The Citadel {'Andrew Mason'},NO
1938 (11th),Actor Leading,Leslie Howard,Pygmalion {'Professor Henry Higgins'},NO
1938 (11th),Actor Leading,Spencer Tracy,Boys Town {'Father Flanagan'},YES
1937 (10th),Actor Leading,Charles Boyer,Conquest {'Napoleon Bonaparte'},NO
1937 (10th),Actor Leading,Fredric March,A Star Is Born {'Norman Maine (Alfred Hinkel)'},NO
1937 (10th),Actor Leading,Robert Montgomery,Night Must Fall {'Danny'},NO
1937 (10th),Actor Leading,Paul Muni,The Life of Emile Zola {'Emile Zola'},NO
1937 (10th),Actor Leading,Spencer Tracy,Captains Courageous {'Manuel'},YES
1936 (9th),Actor Leading,Gary Cooper,Mr. Deeds Goes to Town {'Longfellow Deeds'},NO
1936 (9th),Actor Leading,Walter Huston,Dodsworth {'Sam Dodsworth'},NO
1936 (9th),Actor Leading,Paul Muni,The Story of Louis Pasteur {'Louis Pasteur'},YES
1936 (9th),Actor Leading,William Powell,My Man Godfrey {'Godfrey Parks'},NO
1936 (9th),Actor Leading,Spencer Tracy,San Francisco {'Father Tim Mullen'},NO
1935 (8th),Actor Leading,Clark Gable,Mutiny on the Bounty {'Fletcher Christian'},NO
1935 (8th),Actor Leading,Charles Laughton,Mutiny on the Bounty {'Captain Bligh'} [came in 3rd],NO
1935 (8th),Actor Leading,Victor McLaglen,The Informer {'Gypo Nolan'},YES
1935 (8th),Actor Leading,Paul Muni,Black Fury {'Joe Radek'} [came in 2nd],NO
1935 (8th),Actor Leading,Franchot Tone,Mutiny on the Bounty {'Roger Byam'},NO
1934 (7th),Actor Leading,Clark Gable,It Happened One Night {'Peter Warne'},YES
1934 (7th),Actor Leading,Frank Morgan,"The Affairs of Cellini {'Allesandro, Duke of Florence'} [came in 2nd]",NO
1934 (7th),Actor Leading,William Powell,The Thin Man {'Nick Charles'} [came in 3rd],NO
1933 (6th),Actor Leading,Leslie Howard,Berkeley Square {'Peter Standish'} [came in 3rd],NO
1933 (6th),Actor Leading,Charles Laughton,The Private Life of Henry VIII {'Henry VIII'},YES
1933 (6th),Actor Leading,Paul Muni,I Am a Fugitive from a Chain Gang {'James Allen'} [came in 2nd],NO
1932 (5th),Actor Leading,Wallace Beery,The Champ {'Champ'},YES
1932 (5th),Actor Leading,Alfred Lunt,The Guardsman {'The Actor'},NO
1932 (5th),Actor Leading,Fredric March,Dr. Jekyll and Mr. Hyde {'Dr. Henry Jekyll/Mr. Hyde'},YES
1931 (4th),Actor Leading,Lionel Barrymore,A Free Soul {'Stephen Ashe'},YES
1931 (4th),Actor Leading,Jackie Cooper,Skippy {'Skippy Skinner'},NO
1931 (4th),Actor Leading,Richard Dix,Cimarron {'Yancey Cravat'},NO
1931 (4th),Actor Leading,Fredric March,The Royal Family of Broadway {'Tony Cavendish'},NO
1931 (4th),Actor Leading,Adolphe Menjou,The Front Page {'Walter Burns'},NO
1930 (3rd),Actor Leading,George Arliss,Disraeli {'Benjamin Disraeli'},YES
1930 (3rd),Actor Leading,George Arliss,"The Green Goddess {'Oxonian, the Rajah of Rukh'}",NO
1930 (3rd),Actor Leading,Wallace Beery,The Big House {''Machine Gun' Butch Schmidt'},NO
1930 (3rd),Actor Leading,Maurice Chevalier,The Big Pond {'Pierre Mirande'}; and The Love Parade {'Count Alfred Renard'},NO
1930 (3rd),Actor Leading,Ronald Colman,Bulldog Drummond {'Hugh 'Bulldog' Drummond'}; and Condemned {'Michel'},NO
1930 (3rd),Actor Leading,Lawrence Tibbett,The Rogue Song {'Yegor'},NO
1929 (2nd),Actor Leading,George Bancroft,Thunderbolt {'Thunderbolt Jim Lang'},NO
1929 (2nd),Actor Leading,Warner Baxter,In Old Arizona {'The Cisco Kid'},YES
1929 (2nd),Actor Leading,Chester Morris,"Alibi {'No. 1065, Chick Williams'}",NO
1929 (2nd),Actor Leading,Paul Muni,The Valiant {'James Dyke'},NO
1929 (2nd),Actor Leading,Lewis Stone,The Patriot {'Count Pahlen'},NO
1928 (1st),Actor Leading,Richard Barthelmess,The Noose {'Nickie Elkins'}; and The Patent Leather Kid {'The Patent Leather Kid'},NO
2010 (83rd),Actor Supporting,Christian Bale,The Fighter {'Dicky Eklund'},YES
2010 (83rd),Actor Supporting,John Hawkes,Winter's Bone {'Teardrop'},NO
2010 (83rd),Actor Supporting,Jeremy Renner,The Town {'James Coughlin'},NO
2010 (83rd),Actor Supporting,Mark Ruffalo,The Kids Are All Right {'Paul'},NO
2010 (83rd),Actor Supporting,Geoffrey Rush,The King's Speech {'Lionel Logue'},NO
2009 (82nd),Actor Supporting,Matt Damon,Invictus {'Francois Pienaar'},NO
2009 (82nd),Actor Supporting,Woody Harrelson,The Messenger {'Captain Tony Stone'},NO
2009 (82nd),Actor Supporting,Christopher Plummer,The Last Station {'Tolstoy'},NO
2009 (82nd),Actor Supporting,Stanley Tucci,The Lovely Bones {'George Harvey'},NO
2009 (82nd),Actor Supporting,Christoph Waltz,Inglourious Basterds {'Col. Hans Landa'},YES
2008 (81st),Actor Supporting,Josh Brolin,Milk {'Dan White'},NO
2008 (81st),Actor Supporting,Robert Downey Jr.,Tropic Thunder {'Kirk Lazarus'},NO
2008 (81st),Actor Supporting,Philip Seymour Hoffman,Doubt {'Father Brendan Flynn'},NO
2008 (81st),Actor Supporting,Heath Ledger,The Dark Knight {'Joker'},YES
2008 (81st),Actor Supporting,Michael Shannon,Revolutionary Road {'John Givings'},NO
2007 (80th),Actor Supporting,Casey Affleck,The Assassination of Jesse James by the Coward Robert Ford {'Robert Ford'},NO
2007 (80th),Actor Supporting,Javier Bardem,No Country for Old Men {'Anton Chigurh'},YES
2007 (80th),Actor Supporting,Philip Seymour Hoffman,Charlie Wilson's War {'Gust Avrakotos'},NO
2007 (80th),Actor Supporting,Hal Holbrook,Into the Wild {'Ron Franz'},NO
2007 (80th),Actor Supporting,Tom Wilkinson,Michael Clayton {'Arthur Edens'},NO
2006 (79th),Actor Supporting,Alan Arkin,Little Miss Sunshine {'Grandpa'},YES
2006 (79th),Actor Supporting,Jackie Earle Haley,Little Children {'Ronnie J. McGorvey'},NO
2006 (79th),Actor Supporting,Djimon Hounsou,Blood Diamond {'Solomon Vandy'},NO
2006 (79th),Actor Supporting,Eddie Murphy,Dreamgirls {'James 'Thunder' Early'},NO
2006 (79th),Actor Supporting,Mark Wahlberg,The Departed {'Dignam'},NO
2005 (78th),Actor Supporting,George Clooney,Syriana {'Bob Barnes'},YES
2005 (78th),Actor Supporting,Matt Dillon,Crash {'Officer Ryan'},NO
2005 (78th),Actor Supporting,Paul Giamatti,Cinderella Man {'Joe Gould'},NO
2005 (78th),Actor Supporting,Jake Gyllenhaal,Brokeback Mountain {'Jack Twist'},NO
2005 (78th),Actor Supporting,William Hurt,A History of Violence {'Richie Cusack'},NO
2004 (77th),Actor Supporting,Alan Alda,The Aviator {'Senator Ralph Owen Brewster'},NO
2004 (77th),Actor Supporting,Thomas Haden Church,Sideways {'Jack'},NO
2004 (77th),Actor Supporting,Jamie Foxx,Collateral {'Max'},NO
2004 (77th),Actor Supporting,Morgan Freeman,Million Dollar Baby {'Eddie Scrap-Iron Dupris'},YES
2004 (77th),Actor Supporting,Clive Owen,Closer {'Larry'},NO
2003 (76th),Actor Supporting,Alec Baldwin,The Cooler {'Shelly Kaplow'},NO
2003 (76th),Actor Supporting,Benicio Del Toro,21 Grams {'Jack Jordan'},NO
2003 (76th),Actor Supporting,Djimon Hounsou,In America {'Mateo'},NO
2003 (76th),Actor Supporting,Tim Robbins,Mystic River {'Dave Boyle'},YES
2003 (76th),Actor Supporting,Ken Watanabe,The Last Samurai {'Katsumoto'},NO
2002 (75th),Actor Supporting,Chris Cooper,Adaptation {'John Laroche'},YES
2002 (75th),Actor Supporting,Ed Harris,The Hours {'Richard Brown'},NO
2002 (75th),Actor Supporting,Paul Newman,Road to Perdition {'John Rooney'},NO
2002 (75th),Actor Supporting,John C. Reilly,Chicago {'Amos Hart'},NO
2002 (75th),Actor Supporting,Christopher Walken,Catch Me If You Can {'Frank Abagnale'},NO
2001 (74th),Actor Supporting,Jim Broadbent,Iris {'John Bayley'},YES
2001 (74th),Actor Supporting,Ethan Hawke,Training Day {'Jake'},NO
2001 (74th),Actor Supporting,Ben Kingsley,Sexy Beast {'Don Logan'},NO
2001 (74th),Actor Supporting,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring {'Gandalf'},NO
2001 (74th),Actor Supporting,Jon Voight,Ali {'Howard Cosell'},NO
2000 (73rd),Actor Supporting,Jeff Bridges,The Contender {'President Jackson Evans'},NO
2000 (73rd),Actor Supporting,Willem Dafoe,Shadow of the Vampire {'Max Schreck'},NO
2000 (73rd),Actor Supporting,Benicio Del Toro,Traffic {'Javier Rodriguez'},YES
2000 (73rd),Actor Supporting,Albert Finney,Erin Brockovich {'Ed Masry'},NO
2000 (73rd),Actor Supporting,Joaquin Phoenix,Gladiator {'Commodus'},NO
1999 (72nd),Actor Supporting,Michael Caine,The Cider House Rules {'Dr. Wilbur Larch'},YES
1999 (72nd),Actor Supporting,Tom Cruise,Magnolia {'Frank T.J. Mackey'},NO
1999 (72nd),Actor Supporting,Michael Clarke Duncan,The Green Mile {'John Coffey'},NO
1999 (72nd),Actor Supporting,Jude Law,The Talented Mr. Ripley {'Dickie Greenleaf'},NO
1999 (72nd),Actor Supporting,Haley Joel Osment,The Sixth Sense {'Cole Sear'},NO
1998 (71st),Actor Supporting,James Coburn,Affliction {'Glen Whitehouse'},YES
1998 (71st),Actor Supporting,Robert Duvall,A Civil Action {'Jerome Facher'},NO
1998 (71st),Actor Supporting,Ed Harris,The Truman Show {'Christof'},NO
1998 (71st),Actor Supporting,Geoffrey Rush,Shakespeare in Love {'Philip Henslowe'},NO
1998 (71st),Actor Supporting,Billy Bob Thornton,A Simple Plan {'Jacob'},NO
1997 (70th),Actor Supporting,Robert Forster,Jackie Brown {'Max Cherry'},NO
1997 (70th),Actor Supporting,Anthony Hopkins,Amistad {'John Quincy Adams'},NO
1997 (70th),Actor Supporting,Greg Kinnear,As Good as It Gets {'Simon Bishop'},NO
1997 (70th),Actor Supporting,Burt Reynolds,Boogie Nights {'Jack Horner'},NO
1997 (70th),Actor Supporting,Robin Williams,Good Will Hunting {'Sean McGuire'},YES
1996 (69th),Actor Supporting,"Cuba Gooding, Jr.",Jerry Maguire {'Rod Tidwell'},YES
1996 (69th),Actor Supporting,William H. Macy,Fargo {'Jerry Lundegaard'},NO
1996 (69th),Actor Supporting,Armin Mueller-Stahl,Shine {'Peter Helfgott'},NO
1996 (69th),Actor Supporting,Edward Norton,Primal Fear {'Aaron Stampler'},NO
1996 (69th),Actor Supporting,James Woods,Ghosts of Mississippi {'Byron De La Beckwith'},NO
1995 (68th),Actor Supporting,James Cromwell,Babe {'Farmer Hoggett'},NO
1995 (68th),Actor Supporting,Ed Harris,Apollo 13 {'Gene Kranz'},NO
1995 (68th),Actor Supporting,Brad Pitt,12 Monkeys {'Jeffrey Goines'},NO
1995 (68th),Actor Supporting,Tim Roth,Rob Roy {'Archibald Cunningham'},NO
1995 (68th),Actor Supporting,Kevin Spacey,The Usual Suspects {'Roger 'Verbal' Kint'},YES
1994 (67th),Actor Supporting,Samuel L. Jackson,Pulp Fiction {'Jules Winnfield'},NO
1994 (67th),Actor Supporting,Martin Landau,Ed Wood {'Bela Lugosi'},YES
1994 (67th),Actor Supporting,Chazz Palminteri,Bullets Over Broadway {'Cheech'},NO
1994 (67th),Actor Supporting,Paul Scofield,Quiz Show {'Mark Van Doren'},NO
1994 (67th),Actor Supporting,Gary Sinise,Forrest Gump {'Lieutenant Dan'},NO
1993 (66th),Actor Supporting,Leonardo DiCaprio,What's Eating Gilbert Grape {'Arnie Grape'},NO
1993 (66th),Actor Supporting,Ralph Fiennes,Schindler's List {'Amon Goeth'},NO
1993 (66th),Actor Supporting,Tommy Lee Jones,The Fugitive {'Samuel Gerard'},YES
1993 (66th),Actor Supporting,John Malkovich,In the Line of Fire {'Mitch Leary'},NO
1993 (66th),Actor Supporting,Pete Postlethwaite,In the Name of the Father {'Giuseppe Conlon'},NO
1992 (65th),Actor Supporting,Jaye Davidson,The Crying Game {'Dil'},NO
1992 (65th),Actor Supporting,Gene Hackman,Unforgiven {'Little Bill Daggett'},YES
1992 (65th),Actor Supporting,Jack Nicholson,A Few Good Men {'Col. Nathan R. Jessep'},NO
1992 (65th),Actor Supporting,Al Pacino,Glengarry Glen Ross {'Ricky Roma'},NO
1992 (65th),Actor Supporting,David Paymer,Mr. Saturday Night {'Stan'},NO
1991 (64th),Actor Supporting,Tommy Lee Jones,JFK {'Clay Shaw'},NO
1991 (64th),Actor Supporting,Harvey Keitel,Bugsy {'Mickey Cohen'},NO
1991 (64th),Actor Supporting,Ben Kingsley,Bugsy {'Meyer Lansky'},NO
1991 (64th),Actor Supporting,Michael Lerner,Barton Fink {'Jack Lipnick'},NO
1991 (64th),Actor Supporting,Jack Palance,City Slickers {'Curly'},YES
1990 (63rd),Actor Supporting,Bruce Davison,Longtime Companion {'David'},NO
1990 (63rd),Actor Supporting,Andy Garcia,"The Godfather, Part III {'Vincent Mancini'}",NO
1990 (63rd),Actor Supporting,Graham Greene,Dances with Wolves {'Kicking Bird'},NO
1990 (63rd),Actor Supporting,Al Pacino,Dick Tracy {'Big Boy Caprice'},NO
1990 (63rd),Actor Supporting,Joe Pesci,Good Fellas {'Tommy DeVito'},YES
1989 (62nd),Actor Supporting,Danny Aiello,Do the Right Thing {'Sal'},NO
1989 (62nd),Actor Supporting,Dan Aykroyd,Driving Miss Daisy {'Boolie Werthan'},NO
1989 (62nd),Actor Supporting,Marlon Brando,A Dry White Season {'McKenzie'},NO
1989 (62nd),Actor Supporting,Martin Landau,Crimes and Misdemeanors {'Judah Rosenthal'},NO
1989 (62nd),Actor Supporting,Denzel Washington,Glory {'Trip'},YES
1988 (61st),Actor Supporting,Alec Guinness,Little Dorrit {'William Dorrit'},NO
1988 (61st),Actor Supporting,Kevin Kline,A Fish Called Wanda {'Otto'},YES
1988 (61st),Actor Supporting,Martin Landau,Tucker The Man and His Dream {'Abe'},NO
1988 (61st),Actor Supporting,River Phoenix,Running on Empty {'Danny Pope'},NO
1988 (61st),Actor Supporting,Dean Stockwell,Married to the Mob {'Tony 'the Tiger' Russo'},NO
1987 (60th),Actor Supporting,Albert Brooks,Broadcast News {'Aaron Altman'},NO
1987 (60th),Actor Supporting,Sean Connery,The Untouchables {'Jim Malone'},YES
1987 (60th),Actor Supporting,Morgan Freeman,Street Smart {'Fast Black'},NO
1987 (60th),Actor Supporting,Vincent Gardenia,Moonstruck {'Cosmo Castorini'},NO
1987 (60th),Actor Supporting,Denzel Washington,Cry Freedom {'Steve Biko'},NO
1986 (59th),Actor Supporting,Tom Berenger,Platoon {'Sgt. Barnes'},NO
1986 (59th),Actor Supporting,Michael Caine,Hannah and Her Sisters {'Elliot'},YES
1986 (59th),Actor Supporting,Willem Dafoe,Platoon {'Sgt. Elias'},NO
1986 (59th),Actor Supporting,Denholm Elliott,A Room with a View {'Mr. Emerson'},NO
1986 (59th),Actor Supporting,Dennis Hopper,Hoosiers {'Shooter'},NO
1985 (58th),Actor Supporting,Don Ameche,Cocoon {'Art Selwyn'},YES
1985 (58th),Actor Supporting,Klaus Maria Brandauer,Out of Africa {'Bror'},NO
1985 (58th),Actor Supporting,William Hickey,Prizzi's Honor {'Don Corrado Prizzi'},NO
1985 (58th),Actor Supporting,Robert Loggia,Jagged Edge {'Sam Ransom'},NO
1985 (58th),Actor Supporting,Eric Roberts,Runaway Train {'Buck'},NO
1984 (57th),Actor Supporting,Adolph Caesar,A Soldier's Story {'Sgt. Waters'},NO
1984 (57th),Actor Supporting,John Malkovich,Places in the Heart {'Mr. Will'},NO
1984 (57th),Actor Supporting,Noriyuki 'Pat' Morita,The Karate Kid {'Miyagi'},NO
1984 (57th),Actor Supporting,Haing S. Ngor,The Killing Fields {'Dith Pran'},YES
1984 (57th),Actor Supporting,Ralph Richardson,"Greystoke: The Legend of Tarzan, Lord of the Apes {'The Sixth Earl of Greystoke'}",NO
1983 (56th),Actor Supporting,Charles Durning,To Be or Not to Be {'Col. Erhardt'},NO
1983 (56th),Actor Supporting,John Lithgow,Terms of Endearment {'Sam Burns'},NO
1983 (56th),Actor Supporting,Jack Nicholson,Terms of Endearment {'Garrett Breedlove'},YES
1983 (56th),Actor Supporting,Sam Shepard,The Right Stuff {'Chuck Yeager'},NO
1983 (56th),Actor Supporting,Rip Torn,Cross Creek {'Marsh Turner'},NO
1982 (55th),Actor Supporting,Charles Durning,The Best Little Whorehouse in Texas {'The Governor'},NO
1982 (55th),Actor Supporting,"Louis Gossett, Jr.",An Officer and a Gentleman {'Sgt. Emil Foley'},YES
1982 (55th),Actor Supporting,John Lithgow,The World According to Garp {'Roberta Muldoon'},NO
1982 (55th),Actor Supporting,James Mason,The Verdict {'Edward Concannon'},NO
1982 (55th),Actor Supporting,Robert Preston,Victor/Victoria {'Toddy'},NO
1981 (54th),Actor Supporting,James Coco,Only When I Laugh {'Jimmy Perry'},NO
1981 (54th),Actor Supporting,John Gielgud,Arthur {'Hobson'},YES
1981 (54th),Actor Supporting,Ian Holm,Chariots of Fire {'Sam Mussabini'},NO
1981 (54th),Actor Supporting,Jack Nicholson,Reds {'Eugene O'Neill'},NO
1981 (54th),Actor Supporting,"Howard E. Rollins, Jr.","Ragtime {'Coalhouse Walker, Jr.'}",NO
1980 (53rd),Actor Supporting,Judd Hirsch,Ordinary People {'Dr. Berger'},NO
1980 (53rd),Actor Supporting,Timothy Hutton,Ordinary People {'Conrad Jarrett'},YES
1980 (53rd),Actor Supporting,Michael O'Keefe,The Great Santini {'Ben Meechum'},NO
1980 (53rd),Actor Supporting,Joe Pesci,Raging Bull {'Joey LaMotta'},NO
1980 (53rd),Actor Supporting,Jason Robards,Melvin and Howard {'Howard Hughes'},NO
1979 (52nd),Actor Supporting,Melvyn Douglas,Being There {'Benjamin Rand'},YES
1979 (52nd),Actor Supporting,Robert Duvall,Apocalypse Now {'Lieutenant Colonel Kilgore'},NO
1979 (52nd),Actor Supporting,Frederic Forrest,The Rose {'Dyer'},NO
1979 (52nd),Actor Supporting,Justin Henry,Kramer vs. Kramer {'Billy Kramer'},NO
1979 (52nd),Actor Supporting,Mickey Rooney,The Black Stallion {'Henry Dailey'},NO
1978 (51st),Actor Supporting,Bruce Dern,Coming Home {'Captain Bob Hyde'},NO
1978 (51st),Actor Supporting,Richard Farnsworth,Comes a Horseman {'Dodger'},NO
1978 (51st),Actor Supporting,John Hurt,Midnight Express {'Max'},NO
1978 (51st),Actor Supporting,Christopher Walken,The Deer Hunter {'Nick'},YES
1978 (51st),Actor Supporting,Jack Warden,Heaven Can Wait {'Max Corkle'},NO
1977 (50th),Actor Supporting,Mikhail Baryshnikov,The Turning Point {'Yuri Kopeikine'},NO
1977 (50th),Actor Supporting,Peter Firth,Equus {'Alan Strang'},NO
1977 (50th),Actor Supporting,Alec Guinness,Star Wars {'Ben 'Obi-Wan' Kenobi'},NO
1977 (50th),Actor Supporting,Jason Robards,Julia {'Dashiell Hammett'},YES
1977 (50th),Actor Supporting,Maximilian Schell,Julia {'Johann'},NO
1976 (49th),Actor Supporting,Ned Beatty,Network {'Arthur Jensen'},NO
1976 (49th),Actor Supporting,Burgess Meredith,Rocky {'Mickey'},NO
1976 (49th),Actor Supporting,Laurence Olivier,Marathon Man {'Szell'},NO
1976 (49th),Actor Supporting,Jason Robards,All the President's Men {'Ben Bradlee'},YES
1976 (49th),Actor Supporting,Burt Young,Rocky {'Paulie'},NO
1975 (48th),Actor Supporting,George Burns,The Sunshine Boys {'Al Lewis'},YES
1975 (48th),Actor Supporting,Brad Dourif,One Flew Over the Cuckoo's Nest {'Billy Bibbit'},NO
1975 (48th),Actor Supporting,Burgess Meredith,The Day of the Locust {'Harry'},NO
1975 (48th),Actor Supporting,Chris Sarandon,Dog Day Afternoon {'Leon'},NO
1975 (48th),Actor Supporting,Jack Warden,Shampoo {'Lester Carr'},NO
1974 (47th),Actor Supporting,Fred Astaire,The Towering Inferno {'Harlee Claiborne'},NO
1974 (47th),Actor Supporting,Jeff Bridges,Thunderbolt and Lightfoot {'Lightfoot'},NO
1974 (47th),Actor Supporting,Robert De Niro,The Godfather Part II {'Vito Corleone'},YES
1974 (47th),Actor Supporting,Michael V. Gazzo,The Godfather Part II {'Frankie Pentangeli'},NO
1974 (47th),Actor Supporting,Lee Strasberg,The Godfather Part II {'Hyman Roth'},NO
1973 (46th),Actor Supporting,Vincent Gardenia,Bang the Drum Slowly {'Dutch Schnell'},NO
1973 (46th),Actor Supporting,Jack Gilford,Save the Tiger {'Phil Greene'},NO
1973 (46th),Actor Supporting,John Houseman,The Paper Chase {'Professor Kingsfield'},YES
1973 (46th),Actor Supporting,Jason Miller,The Exorcist {'Father Damian Karras'},NO
1973 (46th),Actor Supporting,Randy Quaid,The Last Detail {'Meadows'},NO
1972 (45th),Actor Supporting,Eddie Albert,The Heartbreak Kid {'Mr. Corcoran'},NO
1972 (45th),Actor Supporting,James Caan,The Godfather {'Sonny Corleone'},NO
1972 (45th),Actor Supporting,Robert Duvall,The Godfather {'Tom Hagen'},NO
1972 (45th),Actor Supporting,Joel Grey,Cabaret {'The Master of Ceremonies'},YES
1972 (45th),Actor Supporting,Al Pacino,The Godfather {'Michael Corleone'},NO
1971 (44th),Actor Supporting,Jeff Bridges,The Last Picture Show {'Duane Jackson'},NO
1971 (44th),Actor Supporting,Leonard Frey,Fiddler on the Roof {'Motel'},NO
1971 (44th),Actor Supporting,Richard Jaeckel,Sometimes a Great Notion {'Joe Ben Stamper'},NO
1971 (44th),Actor Supporting,Ben Johnson,The Last Picture Show {'Sam the Lion'},YES
1971 (44th),Actor Supporting,Roy Scheider,The French Connection {'Buddy Russo'},NO
1970 (43rd),Actor Supporting,Richard Castellano,Lovers and Other Strangers {'Frank Vecchio'},NO
1970 (43rd),Actor Supporting,Chief Dan George,Little Big Man {'Old Lodge Skins'},NO
1970 (43rd),Actor Supporting,Gene Hackman,I Never Sang for My Father {'Gene Garrison'},NO
1970 (43rd),Actor Supporting,John Marley,Love Story {'Phil Cavilleri'},NO
1970 (43rd),Actor Supporting,John Mills,Ryan's Daughter {'Michael'},YES
1969 (42nd),Actor Supporting,Rupert Crosse,The Reivers {'Ned McCaslin'},NO
1969 (42nd),Actor Supporting,Elliott Gould,Bob & Carol & Ted & Alice {'Ted Henderson'},NO
1969 (42nd),Actor Supporting,Jack Nicholson,Easy Rider {'George Hanson'},NO
1969 (42nd),Actor Supporting,Anthony Quayle,Anne of the Thousand Days {'Cardinal Wolsey'},NO
1969 (42nd),Actor Supporting,Gig Young,"They Shoot Horses, Don't They? {'Rocky'}",YES
1968 (41st),Actor Supporting,Jack Albertson,The Subject Was Roses {'John Cleary'},YES
1968 (41st),Actor Supporting,Seymour Cassel,Faces {'Chet'},NO
1968 (41st),Actor Supporting,Daniel Massey,Star! {'Noel Coward'},NO
1968 (41st),Actor Supporting,Jack Wild,Oliver! {'The Artful Dodger'},NO
1968 (41st),Actor Supporting,Gene Wilder,The Producers {'Leo Bloom'},NO
1967 (40th),Actor Supporting,John Cassavetes,The Dirty Dozen {'Victor Franko'},NO
1967 (40th),Actor Supporting,Gene Hackman,Bonnie and Clyde {'Buck Barrow'},NO
1967 (40th),Actor Supporting,Cecil Kellaway,Guess Who's Coming to Dinner {'Monsignor Ryan'},NO
1967 (40th),Actor Supporting,George Kennedy,Cool Hand Luke {'Dragline'},YES
1967 (40th),Actor Supporting,Michael J. Pollard,Bonnie and Clyde {'C.W. Moss'},NO
1966 (39th),Actor Supporting,Mako,The Sand Pebbles {'Po-Han'},NO
1966 (39th),Actor Supporting,James Mason,Georgy Girl {'James Leamington'},NO
1966 (39th),Actor Supporting,Walter Matthau,The Fortune Cookie {'Willie Gingrich'},YES
1966 (39th),Actor Supporting,George Segal,Who's Afraid of Virginia Woolf? {'Nick'},NO
1966 (39th),Actor Supporting,Robert Shaw,A Man for All Seasons {'King Henry VIII'},NO
1965 (38th),Actor Supporting,Martin Balsam,A Thousand Clowns {'Arnold Burns'},YES
1965 (38th),Actor Supporting,Ian Bannen,The Flight of the Phoenix {'Crow'},NO
1965 (38th),Actor Supporting,Tom Courtenay,Doctor Zhivago {'Pasha Antipov/Strelnikoff'},NO
1965 (38th),Actor Supporting,Michael Dunn,Ship of Fools {'Glocken'},NO
1965 (38th),Actor Supporting,Frank Finlay,Othello {'Iago'},NO
1964 (37th),Actor Supporting,John Gielgud,Becket {'King Louis VII of France'},NO
1964 (37th),Actor Supporting,Stanley Holloway,My Fair Lady {'Alfred P. Doolittle'},NO
1964 (37th),Actor Supporting,Edmond O'Brien,Seven Days in May {'Senator Raymond Clark'},NO
1964 (37th),Actor Supporting,Lee Tracy,The Best Man {'Art Hockstader'},NO
1964 (37th),Actor Supporting,Peter Ustinov,Topkapi {'Arthur Simpson'},YES
1963 (36th),Actor Supporting,Nick Adams,Twilight of Honor {'Ben Brown'},NO
1963 (36th),Actor Supporting,Bobby Darin,"Captain Newman, M.D. {'Corp. Jim Tompkins'}",NO
1963 (36th),Actor Supporting,Melvyn Douglas,Hud {'Homer Bannon'},YES
1963 (36th),Actor Supporting,Hugh Griffith,Tom Jones {'Squire Western'},NO
1963 (36th),Actor Supporting,John Huston,The Cardinal {'Cardinal Glennon'},NO
1962 (35th),Actor Supporting,Ed Begley,Sweet Bird of Youth {'Tom 'Boss' Finley'},YES
1962 (35th),Actor Supporting,Victor Buono,What Ever Happened to Baby Jane? {'Edwin Flagg'},NO
1962 (35th),Actor Supporting,Telly Savalas,Birdman of Alcatraz {'Feto Gomez'},NO
